From,To
P9WH97,rpmG1
P9WH99,rpmF
P9WHA1,rpmE
P9WHA3,rpmD
P9WHA5,rplB
P9WHA7,rpmC
P9WHA9,rpmB2
P9WHB1,rpmB1
P9WHB3,rpmA
P9WHB5,rplY
P9WHB7,rplX
P9WHB9,rplW
P9WHC1,rplV
P9WHC3,rplU
P9WHC5,rplT
P9WHC7,rplA
P9WHC9,rplS
P9WHD1,rplR
P9WHD3,rplQ
P9WHD5,rplP
P9WHD7,rplO
P9WHD9,rplN
P9WHE1,rplM
P9WHE3,rplL
P9WHE5,rplK
P9WHE7,rplJ
P9WNL9,embA
P9WNX1,folA
P9WP31,ddl
P9WPS1,atpE
P9WPU5,atpD
P9WPU7,atpA
P9WPU9,atpG
P9WPV1,atpC
P9WPV3,atpFH
P9WPV5,atpF
P9WPV7,atpB
P9WQA9,alr
Q00526,CDK3
Q00534,CDK6
Q00535,CDK5
Q00536,CDK16
Q00537,CDK17
Q00975,CACNA1B
Q01064,PDE1B
Q01118,SCN7A
Q01344,IL5RA
Q01449,MYL7
Q01668,CACNA1D
Q01718,MC2R
Q01726,MC1R
Q01955,COL4A3
Q01959,SLC6A3
Q02108,GUCY1A3
Q02127,DHODH
Q02153,GUCY1B3
Q02156,PRKCE
Q02161,RHD
Q02641,CACNB1
Q02643,GHRHR
Q02750,MAP2K1
Q02763,TEK
Q02768,MT-CYB
Q02779,MAP3K10
Q02880,TOP2B
Q03181,PPARD
Q03282,ureA
Q03283,ureB
Q03284,ureC
Q03431,PTH1R
Q03721,KCNC4
Q04609,FOLH1
Q04759,PRKCQ
Q04844,CHRNE
Q04912,MST1R
Q05397,PTK2
Q05513,PRKCZ
Q05586,GRIN1
Q05655,PRKCD
Q05940,SLC18A2
Q06187,BTK
Q06203,PPAT
Q06432,CACNG1
Q06643,LTB
Q07001,CHRND
Q07002,CDK18
Q07011,TNFRSF9
Q07075,ENPEP
Q07343,PDE4B
Q07806,mrcA
Q07817,BCL2L1
Q07820,MCL1
Q07864,POLE
Q07869,PPARA
Q08289,CACNB2
Q08334,IL10RB
Q08493,PDE4C
Q08499,PDE4D
Q08881,ITK
Q09428,ABCC8
Q09470,KCNA1
Q12791,KCNMA1
Q12809,KCNH2
Q12852,MAP3K12
Q12879,GRIN2A
Q12908,SLC10A2
Q13002,GRIK2
Q13003,GRIK3
Q13093,PLA2G7
Q13133,NR1H3
Q13200,PSMD2
Q13224,GRIN2B
Q13233,MAP3K1
Q13258,PTGDR
Q13370,PDE3B
Q13421,MSLN
Q13464,ROCK1
Q13467,FZD5
Q13477,MADCAM1
Q13489,BIRC3
Q13490,BIRC2
Q13509,TUBB3
Q13535,ATR
Q13547,HDAC1
Q13564,NAE1
Q13619,CUL4A
Q13621,SLC12A1
Q13639,HTR4
Q13641,TPBG
Q13698,CACNA1S
Q13705,ACVR2B
Q13733,ATP1A4
Q13748,TUBA3C
Q13748,TUBA3D
Q13751,LAMB3
Q13753,LAMC2
Q13882,PTK6
Q13885,TUBB2A
Q13936,CACNA1C
Q13946,PDE7A
Q13956,PDE6H
Q14003,KCNC3
Q14004,CDK13
Q14031,COL4A6
Q14123,PDE1C
Q14145,KEAP1
Q14289,PTK2B
Q14332,FZD2
Q14416,GRM2
Q14432,PDE3A
Q14524,SCN5A
Q14626,IL11RA
Q14627,IL13RA2
Q14654,KCNJ11
Q14721,KCNB1
Q14790,CASP8
Q14832,GRM3
Q14956,GPNMB
Q14957,GRIN2C
Q15008,PSMD6
Q15116,PDCD1
Q15131,CDK10
Q15139,PRKD1
Q15303,ERBB4
Q15375,EPHA7
Q15389,ANGPT1
Q15413,RYR3
Q15722,LTB4R
Q15759,MAPK11
Q15761,NPY5R
Q15825,CHRNA6
Q15842,KCNJ8
Q15858,SCN9A
Q15878,CACNA1E
Q16099,GRIK4
Q16186,ADRM1
Q16236,NFE2L2
Q16288,NTRK3
Q16322,KCNA10
Q16363,LAMA4
Q16445,GABRA6
Q16478,GRIK5
Q16518,RPE65
Q16531,DDB1
Q16539,MAPK14
Q16548,BCL2A1
Q16552,IL17A
Q16584,MAP3K11
Q16602,CALCRL
Q16620,NTRK2
Q16718,NDUFA5
Q16739,UGCG
Q16787,LAMA3
Q16790,CA9
Q16795,NDUFA9
Q16832,DDR2
Q16853,AOC3
Q16881,TXNRD1
Q17RW2,COL24A1
Q182S6,rpoZ
Q18CF1,rpoB
Q18CF3,rpoC
Q18CI5,rpoA
Q25634,GluClX
Q25704,PPPK-DHPS
Q2EEQ2,ykgO
Q2FUQ0,rpmH
Q2FW06,rplC
Q2FW07,rplD
Q2FW08,rplW
Q2FW10,rpsS
Q2FW11,rplV
Q2FW12,rpsC
Q2FW13,rplP
Q2FW14,rpmC
Q2FW15,rpsQ
Q2FW16,rplN
Q2FW17,rplX
Q2FW18,rplE
Q2FW19,rpsZ
Q2FW20,rpsH
Q2FW21,rplF
Q2FW22,rplR
Q2FW23,rpsE
Q2FW29,rpmJ
Q2FW30,rpsM
Q2FW31,rpsK
Q2FW33,rplQ
Q2FW38,rplM
Q2FW39,rpsI
Q2FWD8,rpmE2
Q2FXK6,rpsD
Q2FXQ0,rpmI
Q2FXQ1,rplT
Q2FXS8,rplU
Q2FXT0,rpmA
Q2FXY6,rpsT
Q2FXZ7,rpsU
Q2FY22,rpmG2
Q2FYF9,SAOUHSC_01493
Q2FYU5,rpsN
Q2FYU6,rpmG1
Q2FZ25,rpsB
Q2FZ42,rplS
Q2FZ45,rpsP
Q2FZ60,rpmB
Q2FZF1,rpmF
Q2G0N9,rplJ
Q2G0P0,rplA
Q2G111,rpsR
Q2G113,rpsF
Q2G2Q1,rpsO
Q2G2T3,rplI
Q2UY09,COL28A1
Q2VKV7,vssc
Q30167,HLA-DRB1
Q3ZCM7,TUBB8
Q48WA5,rpmG2
Q490D8,rpmG1
Q4JEY0,A7C99_4692
Q4U2R8,SLC22A6
Q4WLT4,AFUA_6G12400
Q51504,pbpB
Q51505,pbpC
Q53707,mecA
Q53725,pbpA
Q53729,PBP2
Q54618,pbp2b
Q59961,parE
Q5EP76,topB
Q5HK03,gyrB
Q5HK04,gyrA
Q5JZY3,EPHA10
Q5L478,NS5A
Q5XXA6,ANO1
Q69091,gD
Q6P179,ERAP2
Q6PEY2,TUBA3E
Q6PIU1,KCNV1
Q6Q4G3,LVRN
Q6QLK5,env
Q6UB28,METAP1D
Q6UXS9,CASP12
Q70Z44,HTR3D
Q71U36,TUBA1A
Q72547,pol
Q72874,pol
Q75Y37,pbp3
Q75Y54,PBP2X
Q75YD8,pbp2a
Q75YK0,pbp1b
Q7L0J3,SV2A
Q7LG56,RRM2B
Q7Z2W7,TRPM8
Q7Z3S7,CACNA2D4
Q7Z418,KCNK18
Q7ZJM1,pol
Q86V86,PIM3
Q86Y39,NDUFA11
Q89535,F
Q8CWM8,rpsB
Q8CWN3,rpmF
Q8CWN7,rpmG2
Q8CWQ0,rpsO
Q8CWQ9,rplS
Q8CWR5,rplU
Q8CWR8,rpmG1
Q8CWR9,rpsA
Q8CWS0,rpsT
Q8CWS9,rplK
Q8CWU4,rpsI
Q8CWU5,rplM
Q8CWU6,rpsG
Q8CWU8,rplQ
Q8CWV0,rplO
Q8CWV1,rpmD
Q8CWV2,rplR
Q8CWV3,rplF
Q8CWV4,rplE
Q8CWV5,rplB
Q8CWV6,rplW
Q8CWV7,rplD
Q8CWV8,rplC
Q8IU57,IFNLR1
Q8IW41,MAPKAPK5
Q8IWU9,TPH2
Q8IZC6,COL27A1
Q8IZL9,CDK20
Q8IZS8,CACNA2D3
Q8JXU8,NS5B
Q8N183,NDUFAF2
Q8N1C3,GABRG1
Q8N1Q1,CA13
